Delta,Theta,Alpha,Beta,specific.disorder
12.245460259869589,8.674307799898862,7.131808938331789,10.013943586459522,happy
18.08268986681948,15.852509350606278,12.739707518899348,14.83014543734114,happy
18.653088823494457,15.0620341644287,11.989569660095608,15.140478944456406,happy
21.838218497443968,17.541182224036355,13.624016661444823,17.053418866452088,happy
22.067904291312487,17.228787735967433,14.240931706062408,17.3329199960954,happy
11.524160765924826,8.286166087671575,6.428016459293465,8.371240438908877,happy
19.56727068607495,21.90081236781583,14.625480014100807,17.198584652050663,studious
28.15732162463918,28.832136767867677,21.79461728938532,22.223544705550744,studious
32.46947035181742,29.98197782164991,19.44122657533917,25.872337505390146,studious
19.85102852195683,27.115254430993108,18.327651480147583,19.035805078912176,studious
19.895961737777263,21.594935598322454,14.921907825631628,18.16595281104365,studious
27.9314187942848,26.04725657602502,17.01978893159796,21.03381129390724,studious
19.74388785976652,25.04126795552644,16.7838534436114,18.29220349851552,studious
14.124679165442098,18.920809515018902,11.240146111057287,14.162136900301237,studious
13.862875335739965,20.332547933029836,11.932374611213236,13.03541849016924,studious
17.30720403530736,23.20013487782426,13.903777155697366,15.551896162966242,studious
25.001783959924563,31.51904318077907,19.850411575935198,21.23042351150941,studious
18.185741529142355,22.294495954093023,14.359091054117917,15.996080471884614,studious
17.041517890184895,23.978365089917187,13.15044002909746,15.224098059352505,studious
25.000701359458105,30.13532912766536,18.52942842704256,19.11774633385633,studious
